Label|m|h|Hm0 toe|Tm1,0t|β|ht|Bt|hb|B|cotad|cotaincl|cotau|gf_d|gf_u|gf|D|D50_d|D50_u|Ac|Rc|Gc|Kr|Kt|q
E-48.107|111.1111|0.43|0.1095|1.611|0.0|0.43|0.0|-0.11367|0.0|2.0|2.568320000000002|50.0|1.0|1.0|1.0|0.0|0.0|0.0|0.117|0.196659|0.0|0|0|1
E-48.108|111.1111|0.43|0.1589|2.053|0.0|0.43|0.0|-0.11367|0.0|2.0|2.449810046433096|50.0|1.0|1.0|1.0|0.0|0.0|0.0|0.117|0.196659|0.0|0|0|1
E-48.109|111.1111|0.36|0.143|1.522|0.0|0.36|0.0|-0.18367|0.0|2.0|2.3981070983810713|50.0|1.0|1.0|1.0000000000000002|0.0|0.0|0.0|0.187|0.266659|0.0|0|0|1
E-48.110|111.1111|0.41|0.1149|1.609|0.0|0.41|0.0|-0.135|0.0|2.0|2.7683688170321763|50.0|1.0|1.0|1.0|0.0|0.0|0.0|0.14|0.22|0.0|0|0|1
E-48.111|111.1111|0.41|0.1431|1.668|0.0|0.41|0.0|-0.135|0.0|2.0|2.6767235302410834|50.0|1.0|1.0|1.0|0.0|0.0|0.0|0.14|0.22|0.0|0|0|1
E-48.112|111.1111|0.41|0.1571|1.674|0.0|0.41|0.0|-0.135|0.0|2.0|2.6388925861839483|50.0|1.0|1.0|1.0|0.0|0.0|0.0|0.14|0.22|0.0|0|0|1
E-48.113|111.1111|0.46|0.1061|1.596|0.0|0.46|0.0|-0.085|0.0|2.0|2.9632751354605644|50.0|1.0|1.0|1.0|0.0|0.0|0.0|0.09|0.17|0.0|0|0|1
E-48.114|111.1111|0.46|0.1352|1.634|0.0|0.46|0.0|-0.085|0.0|2.0|2.8196721311475392|50.0|1.0|1.0|1.0|0.0|0.0|0.0|0.09|0.17|0.0|0|0|1
E-48.115|111.1111|0.46|0.1588|1.682|0.0|0.46|0.0|-0.085|0.0|2.0|2.7312614259597794|50.0|1.0|1.0|1.0|0.0|0.0|0.0|0.09|0.17|0.0|0|0|1
E-48.116|111.1111|0.51|0.08731|1.602|0.0|0.51|0.0|-0.035|0.0|2.0|3.4037960986166746|50.0|1.0|1.0|1.0|0.0|0.0|0.0|0.04|0.12|0.0|0|0|1
E-48.117|111.1111|0.51|0.1109|1.595|0.0|0.51|0.0|-0.035|0.0|2.0|3.1630724497213465|50.0|1.0|1.0|1.0|0.0|0.0|0.0|0.04|0.12|0.0|0|0|1
E-48.118|111.1111|0.51|0.1325|1.616|0.0|0.51|0.0|-0.035|0.0|2.0|3.00523560209424|50.0|1.0|1.0|1.0|0.0|0.0|0.0|0.04|0.12|0.0|0|0|1
E-48.119|111.1111|0.51|0.07958|2.164|0.0|0.51|0.0|-0.035|0.0|2.0|3.5059295977913023|50.0|1.0|1.0|1.0|0.0|0.0|0.0|0.04|0.12|0.0|0|0|1
