Label|m|h|Hm0 toe|Tm1,0t|β|ht|Bt|hb|B|cotad|cotau|gf_d|gf_u|D50_d|D50_u|Ac|Rc|Gc|Kr|Kt|q
F-15.3|100.0|0.3341666667|0.1333333333|1.5745916432|0.0|0.3341666667|0.0|0.0608333333|0.0|3.0|0.77|1.0|1.0|0.0|0.0|0.15|0.3083333333|0.0|0|0|1
F-15.4|100.0|0.3341666667|0.1666666667|1.7950344733|0.0|0.3341666667|0.0|0.0608333333|0.0|3.0|0.77|1.0|1.0|0.0|0.0|0.15|0.3083333333|0.0|0|0|1
F-15.5|100.0|0.4341666667|0.1333333333|1.5745916432|0.0|0.4341666667|0.0|0.1608333333|0.0|3.0|0.77|0.55|1.0|0.04717|0.0|0.05|0.2083333333|0.0|0|0|1
F-15.6|100.0|0.4341666667|0.1666666667|1.7950344733|0.0|0.4341666667|0.0|0.1608333333|0.0|3.0|0.77|0.55|1.0|0.04717|0.0|0.05|0.2083333333|0.0|0|0|1
F-15.9|100.0|0.3341666667|0.1333333333|1.5745916432|0.0|0.2941666667|0.0666666667|0.0166666667|0.3|1.25|0.7|0.55|1.0|0.04717|0.0|0.1666666667|0.3083333333|0.0|0|0|1
F-15.10|100.0|0.3341666667|0.1666666667|1.7950344733|0.0|0.2941666667|0.0666666667|0.0166666667|0.3|1.25|0.7|0.55|1.0|0.04717|0.0|0.1666666667|0.3083333333|0.0|0|0|1
F-15.11|100.0|0.4341666667|0.1333333333|1.5745916432|0.0|0.3941666667|0.0666666667|0.1166666667|0.3|1.25|0.7|0.55|1.0|0.04717|0.0|0.0666666667|0.2083333333|0.0|0|0|1
F-15.12|100.0|0.4341666667|0.1666666667|1.7950344733|0.0|0.3941666667|0.0666666667|0.1166666667|0.3|1.25|0.7|0.55|1.0|0.04717|0.0|0.0666666667|0.2083333333|0.0|0|0|1
F-15.16|100.0|0.3341666667|0.1666666667|1.7950344733|0.0|0.3341666667|0.0|-0.125|0.43|1.25|0.0|0.55|1.0|0.04717|0.0|0.3083333333|0.3083333333|0.0|0|0|1
F-15.17|100.0|0.4341666667|0.1333333333|1.5745916432|0.0|0.4341666667|0.0|-0.025|0.43|1.25|0.0|0.55|1.0|0.04717|0.0|0.2083333333|0.2083333333|0.0|0|0|1
F-15.18|100.0|0.4341666667|0.1666666667|1.7950344733|0.0|0.4341666667|0.0|-0.025|0.43|1.25|0.0|0.55|1.0|0.04717|0.0|0.2083333333|0.2083333333|0.0|0|0|1
F-21.3|50.0|0.7|0.071|1.745|0.0|0.7|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.103|0.103|0.0|0|0|1
F-21.6|50.0|0.7|0.071|1.745|0.0|0.7|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.103|0.103|0.0|0|0|1
F-21.8|50.0|0.52|0.17|2.618|0.0|0.52|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.283|0.283|0.0|0|0|1
F-21.9|50.0|0.43|0.19|2.727|0.0|0.43|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.373|0.373|0.0|0|0|1
F-21.10|50.0|0.7|0.15|2.618|0.0|0.7|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.103|0.103|0.0|0|0|1
F-21.11|50.0|0.61|0.15|2.509|0.0|0.61|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.193|0.193|0.0|0|0|1
F-21.12|50.0|0.7|0.15|1.527|0.0|0.7|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.103|0.103|0.0|0|0|1
F-21.13|50.0|0.43|0.19|2.727|0.0|0.43|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.373|0.373|0.0|0|0|1
F-21.14|50.0|0.61|0.15|2.509|0.0|0.61|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.193|0.193|0.0|0|0|1
F-21.16|50.0|0.7|0.08|1.309|0.0|0.7|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.103|0.103|0.0|0|0|1
F-21.19|50.0|0.7|0.08|1.309|0.0|0.7|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.103|0.103|0.0|0|0|1
F-21.21|50.0|0.61|0.15|1.745|0.0|0.61|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.193|0.193|0.0|0|0|1
F-21.22|50.0|0.43|0.16|1.855|0.0|0.43|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.373|0.373|0.0|0|0|1
F-21.23|50.0|0.7|0.15|1.745|0.0|0.7|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.103|0.103|0.0|0|0|1
F-21.24|50.0|0.7|0.15|1.745|0.0|0.7|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.103|0.103|0.0|0|0|1
F-21.25|50.0|0.43|0.16|1.855|0.0|0.43|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.373|0.373|0.0|0|0|1
F-21.26|50.0|0.61|0.15|1.745|0.0|0.61|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.193|0.193|0.0|0|0|1
F-21.27|50.0|0.7|0.23|2.171|0.0|0.7|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.103|0.103|0.0|0|0|1
F-21.28|50.0|0.34|0.2|2.4|0.0|0.34|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.463|0.463|0.0|0|0|1
F-21.29|50.0|0.34|0.16|1.887|0.0|0.34|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.463|0.463|0.0|0|0|1
F-21.31|50.0|0.52|0.15|1.745|0.0|0.52|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.283|0.283|0.0|0|0|1
F-21.32|50.0|0.52|0.2|2.073|0.0|0.52|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.283|0.283|0.0|0|0|1
F-21.33|50.0|0.34|0.18|2.149|0.0|0.34|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.463|0.463|0.0|0|0|1
F-21.34|50.0|0.61|0.19|2.073|0.0|0.61|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.193|0.193|0.0|0|0|1
F-21.35|50.0|0.7|0.2|1.964|0.0|0.7|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.103|0.103|0.0|0|0|1
F-21.36|50.0|0.43|0.2|2.073|0.0|0.43|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.373|0.373|0.0|0|0|1
F-21.37|50.0|0.43|0.2|2.073|0.0|0.43|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.373|0.373|0.0|0|0|1
F-21.38|50.0|0.7|0.2|1.964|0.0|0.7|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.103|0.103|0.0|0|0|1
F-21.39|50.0|0.43|0.2|2.073|0.0|0.43|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.373|0.373|0.0|0|0|1
F-21.40|50.0|0.61|0.19|2.073|0.0|0.61|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.193|0.193|0.0|0|0|1
F-21.41|50.0|0.61|0.26|2.247|0.0|0.61|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.193|0.193|0.0|0|0|1
F-21.42|50.0|0.61|0.256|2.247|0.0|0.61|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.193|0.193|0.0|0|0|1
F-21.43|50.0|0.61|0.23|1.964|0.0|0.61|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.193|0.193|0.0|0|0|1
F-21.44|50.0|0.61|0.23|1.964|0.0|0.61|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.193|0.193|0.0|0|0|1
F-21.45|50.0|0.52|0.14|1.636|0.0|0.52|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.283|0.283|0.0|0|0|1
F-21.46|50.0|0.61|0.26|2.149|0.0|0.61|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.193|0.193|0.0|0|0|1
F-21.47|50.0|0.34|0.18|2.073|0.0|0.34|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.463|0.463|0.0|0|0|1
F-21.48|50.0|0.34|0.17|1.92|0.0|0.34|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.463|0.463|0.0|0|0|1
F-21.49|50.0|0.52|0.18|1.855|0.0|0.52|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.283|0.283|0.0|0|0|1
F-21.50|50.0|0.7|0.23|1.942|0.0|0.7|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.103|0.103|0.0|0|0|1
F-21.51|50.0|0.34|0.15|1.735|0.0|0.34|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.463|0.463|0.0|0|0|1
F-21.52|50.0|0.61|0.15|1.527|0.0|0.61|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.193|0.193|0.0|0|0|1
F-21.53|50.0|0.7|0.15|1.527|0.0|0.7|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.103|0.103|0.0|0|0|1
F-21.54|50.0|0.43|0.14|1.636|0.0|0.43|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.373|0.373|0.0|0|0|1
F-21.55|50.0|0.61|0.15|1.527|0.0|0.61|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.193|0.193|0.0|0|0|1
F-21.56|50.0|0.43|0.14|1.636|0.0|0.43|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.373|0.373|0.0|0|0|1
F-21.57|50.0|0.7|0.15|1.527|0.0|0.7|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.103|0.103|0.0|0|0|1
F-21.58|50.0|0.43|0.18|1.855|0.0|0.43|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.373|0.373|0.0|0|0|1
F-21.59|50.0|0.43|0.18|1.855|0.0|0.43|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.373|0.373|0.0|0|0|1
F-21.60|50.0|0.7|0.19|1.745|0.0|0.7|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.103|0.103|0.0|0|0|1
F-21.61|50.0|0.61|0.18|1.745|0.0|0.61|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.193|0.193|0.0|0|0|1
