Label|m|h|Hm0 toe|Tm1,0t|β|ht|Bt|hb|B|cotad|cotau|gf_d|gf_u|D50_d|D50_u|Ac|Rc|Gc|Lm0|Kr|Kt|q
E-48.71|111.1111|0.4|0.1549|1.673|0.0|0.4|0.0|-0.19|0.0|2.0|50.0|1.0|1.0|0.0|0.0|0.2|0.239996|0.0|4.369995813847037|0|0|1
C-27.24|50.0|0.405|0.129|1.2616600791|0.0|0.405|0.0|0.0|0.0|1.3333333333|1.3333333333|0.38|0.38|0.04198|0.04198|0.10125|0.162|0.1485|2.4852716288052155|0|0|1
A-39.179|1000.0|0.55|0.1621|1.45454545|0.0|0.55|0.0|0.0|0.0|1.5|1.5|0.4|0.4|0.06|0.06|0.15|0.24|0.3|3.303267399877407|0|0|1
D-42.118|20.0|0.16|0.0498|0.8524|0.0|0.08|0.4|0.0|0.0|2.0|2.0|1.0|1.0|0.0|0.0|0.08|0.08|0.0|1.134425606937821|0|0|1
C-29.18|50.0|0.405|0.129|1.2616600791|0.0|0.405|0.0|0.0|0.0|1.3333333333|1.3333333333|0.38|0.38|0.04198|0.04198|0.081|0.1215|0.24975|2.4852716288052155|0|0|1
G-2.283|1000.0|0.485|0.1219|1.278|60.0|0.455|0.13|0.0|0.0|2.0|2.0|0.4|0.4|0.042|0.042|0.13|0.13|0.13|2.5500626285351804|0|0|1
G-2.46|1000.0|0.545|0.06928|1.519|10.0|0.515|0.13|0.0|0.0|2.0|2.0|0.4|0.4|0.042|0.042|0.07|0.07|0.13|3.60250578383157|0|0|1
G-4.26|1000.0|0.515|0.07681|1.062|0.0|0.485|0.13|0.0|0.0|2.0|2.0|0.4|0.4|0.042|0.042|0.1|0.1|0.13|1.7609141063144147|0|0|1
C-10.16|1000.0|0.6775|0.04502|0.8463|0.0|0.6775|0.0|0.0|0.0|1.5|1.5|0.5|0.5|0.03|0.03|0.116|0.116|0.08917021672758628|1.1182472035117998|0|0|1
C-24.21|100.0|0.36|0.1022|1.4636081307|0.0|0.2|0.0888888889|0.0|0.0|1.3333333333|1.3351955307|0.38|0.38|0.049873|0.049873|0.1977777778|0.1666666667|0.1777777778|3.3445582631553483|0|0|1
A-34.122|52.0|0.4|0.158|1.3090909091|0.0|0.4|0.0|0.0|0.0|2.0|2.0|0.55|0.55|0.045|0.045|0.24|0.24|0.15|2.6756466106606536|0|0|1
C-26.18|50.0|0.405|0.129|1.2616600791|0.0|0.405|0.0|0.0|0.0|1.3333333333|1.3333333333|0.47|0.47|0.047|0.047|0.081|0.1215|0.1485|2.4852716288052155|0|0|1
C-1.12|1000.0|0.6735|0.09452|1.024|0.0|0.6735|0.0|0.0|0.0|1.5|1.5|0.46|0.46|0.032|0.032|0.139|0.139|0.09467251057546976|1.6371521858898421|0|0|1
F-38.215|1000.0|0.65|0.09|1.0|0.0|0.5|0.15|0.05|0.0|0.0|-1.7320508|1.0|1.0|0.0|0.0|0.1|0.1|0.0|1.5613099917314934|0|0|1
G-16.1|1000.0|0.3234441|0.0691501|1.1554536|6.0|0.23042605|0.1048405|0.0|0.0|1.5|1.5|0.47|0.47|0.014645461369460674|0.014645461369460674|0.1672987|0.16729868|0.2342182|2.0844628485540535|0|0|1
A-35.54|1000.0|0.75|0.26772108|1.6181818182|0.0|0.75|0.0|0.0|0.0|2.0|2.0|0.4|0.4|0.051|0.051|0.35|0.35|0.204|4.0883095685233295|0|0|1
A-41.86|30.7865169|0.255|0.1367|1.71|0.0|0.255|0.0|0.0|0.0|4.0|4.0|0.4|0.4|0.0625|0.0625|0.17|0.17|0.2|4.565426546822059|0|0|1
D-43.51|1000.0|0.55|0.09336|1.577|0.0|0.55|0.0|0.0|0.0|2.1445069205095586|2.1445069205095586|1.0|1.0|0.0|0.0|0.019999999999999907|0.019999999999999907|0.0|3.882867096426811|0|0|1
D-42.111|20.0|0.1|0.0703|1.2849|0.0|0.1|0.0|0.0|0.0|2.0|2.0|1.0|1.0|0.0|0.0|0.08|0.08|0.0|2.57767285004206|0|0|1
G-2.78|1000.0|0.455|0.1343|1.265|10.0|0.425|0.13|0.0|0.0|2.0|2.0|0.4|0.4|0.042|0.042|0.16|0.16|0.13|2.4984472815185286|0|0|1
C-52.9|120.0|0.3234441222|0.1026098595|1.2912295677|0.0|0.2297568592|0.169529333|0.0|0.0|2.0|2.0|0.47|0.47|0.04072846049135154|0.04072846049135154|0.2007584207|0.1672986839|0.1940664733|2.6031312374318114|0|0|1
F-28.30|1000.0|0.69|0.1905|1.992133289|0.0|0.564|0.3|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.125|0.255|0.178|6.196207090870995|0|0|1
D-32.88|1000.0|0.5|0.096|1.3181818182|0.0|0.5|0.0|0.0|0.0|3.0|3.0|1.0|1.0|0.0|0.0|0.201|0.201|0.0|2.7129374030628273|0|0|1
D-43.264|1000.0|0.525|0.1346|1.412|0.0|0.525|0.0|0.0|0.0|0.83909963117728|0.83909963117728|1.0|1.0|0.0|0.0|0.04499999999999993|0.04499999999999993|0.0|3.112852428154714|0|0|1
D-19.15|1000.0|0.72|0.115|1.2818181818|0.0|0.72|0.0|0.0|0.6|4.0|4.0|1.0|1.0|0.0|0.0|0.15|0.15|0.0|2.5653226400605984|0|0|1
E-41.25|1000.0|0.5015384615384616|0.18123076923076922|2.5514415107113577|0.0|0.2861538461538462|0.3076923076923077|-0.16|0.5230769230769231|1.25|3.0|0.4|0.4|0.03775384615384616|0.03775384615384616|0.2676923076923077|0.2676923076923077|0.15384615384615385|10.163899755454858|0|0|1
E-15.690|20.0|0.25774327122153207|0.0667|1.144|0.0|0.23|0.0|0.02|0.26|1.25|1.25|0.4|0.4|0.0103|0.0103|0.09|0.09|0.1605|2.0433425933387075|0|0|1
D-22.134|50.0|0.4|0.0817|3.0806308526|0.0|0.4|0.0|0.0|0.0|2.0|2.0|1.0|1.0|0.0|0.0|0.1|0.1|0.0|14.817279058764957|0|0|1
F-38.194|1000.0|0.55|0.12|1.0|0.0|0.4|0.15|-0.05|0.0|0.0|-1.7320508|1.0|1.0|0.0|0.0|0.2|0.2|0.0|1.5613099917314934|0|0|1
A-42.25|50.0|0.405|0.129|1.2616600791|0.0|0.405|0.0|0.0|0.0|1.3333333333|1.3333333333|0.4|0.4|0.04698|0.04698|0.10125|0.22005|0.1485|2.4852716288052155|0|0|1
D-26.69|1000.0|1.0|0.081|1.47|0.0|1.0|0.0|0.0|0.0|6.0|6.0|1.0|1.0|0.0|0.0|0.05|0.05|0.0|3.373834761132584|0|0|1
G-15.34|1000.0|0.72|0.105|1.4272727|0.0|0.72|0.0|0.0|0.0|4.0|4.0|1.0|1.0|0.0|0.0|0.24|0.24|0.0|3.1805560756558333|0|0|1
D-31.2|1000.0|0.6|0.185|1.6636363636|0.0|0.6|0.0|-0.16|0.4|3.0|0.0|1.0|1.0|0.0|0.0|0.25|0.25|0.0|4.321215728166134|0|0|1
F-5.9|30.0|0.15|0.107|1.64363636|0.0|0.15|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.186|0.186|0.0|4.2179421506021395|0|0|1
D-43.284|1000.0|0.5|0.06867|1.155|0.0|0.5|0.0|0.0|0.0|0.83909963117728|0.83909963117728|1.0|1.0|0.0|0.0|0.06999999999999995|0.06999999999999995|0.0|2.0828265617196053|0|0|1
E-15.378|20.0|0.47|0.1294|1.61|0.0|0.44|0.0|0.04|0.5|1.25|1.25|0.4|0.4|0.0388|0.0388|0.17|0.17|0.31|4.0470716295672045|0|0|1
E-15.84|20.0|0.47|0.08079|1.179|0.0|0.44|0.0|0.04|0.3|1.25|1.25|0.4|0.4|0.0198|0.0198|0.11|0.11|0.17|2.170284902216437|0|0|1
F-11.53|1000.0|0.85|0.129|1.4997557652404279|0.0|0.85|0.0|0.3|0.6666666666666666|2.0|0.0|1.0|1.0|0.0|0.0|0.03|0.03|0.0|3.511803596017621|0|0|1
C-13.9|1000.0|0.6779999999999999|0.07646|1.35|0.0|0.6779999999999999|0.0|0.0|0.0|1.5|1.5|0.47|0.47|0.026|0.026|0.118|0.118|0.07831393070928945|2.8454874599306472|0|0|1
C-36.3|1000.0|0.4|0.11|1.972727273|0.0|0.4|0.0|0.0|0.0|1.5|1.5|0.44|0.44|0.042|0.042|0.11|0.11|0.15|6.076076547187814|0|0|1
D-41.107|10.0|0.4|0.21|2.636|0.0|0.4|0.0|0.0|0.0|0.7002075382097098|0.7002075382097098|1.0|1.0|0.0|0.0|0.94|0.94|0.0|10.848756232306314|0|0|1
A-39.187|1000.0|0.59|0.1665|1.45454545|0.0|0.59|0.0|0.0|0.0|1.5|1.5|0.4|0.4|0.06|0.06|0.11|0.2|0.3|3.303267399877407|0|0|1
E-15.494|20.0|0.37|0.09797|1.256|0.0|0.34|0.0|-0.11|0.0|1.25|1.25|0.4|0.4|0.0388|0.0388|0.11|0.11|0.31|2.4630227191161334|0|0|1
D-43.44|1000.0|0.55|0.1314|1.407|0.0|0.55|0.0|0.0|0.0|2.1445069205095586|2.1445069205095586|1.0|1.0|0.0|0.0|0.019999999999999907|0.019999999999999907|0.0|3.0908457638212594|0|0|1
G-3.234|1000.0|0.515|0.1275|1.643|60.0|0.485|0.13|0.0|0.0|2.0|2.0|0.47|0.47|0.04|0.04|0.1|0.1|0.13|4.2146766958695885|0|0|1
D-42.97|20.0|0.16|0.0267|0.6793|0.0|0.16|0.0|0.0|0.0|2.0|2.0|1.0|1.0|0.0|0.0|0.08|0.08|0.0|0.7204641381064102|0|0|1
E-7.37|1000.0|0.6|0.103|2.2545454545454544|0.0|0.6|0.0|0.0|0.4|4.0|4.0|1.0|1.0|0.0|0.0|0.28|0.28|0.0|7.936099977806096|0|0|1
E-31.43|40.0|0.24|0.1256|1.4909090909|0.0|0.12|0.12|0.0|0.0|2.0|2.0|0.4|0.4|0.057999999999999996|0.057999999999999996|0.16|0.16|0.256|3.4704953336444744|0|0|1
G-2.170|1000.0|0.545|0.09161|1.398|45.0|0.515|0.13|0.0|0.0|2.0|2.0|0.4|0.4|0.042|0.042|0.07|0.07|0.13|3.0514304930799976|0|0|1
F-11.114|1000.0|0.85|0.14666666666666667|1.4771165418601588|0.0|0.85|0.0|0.21666666666666665|0.5|2.0|0.0|1.0|1.0|0.0|0.0|0.03|0.03|0.0|3.406580550003243|0|0|1
F-21.23|50.0|0.7|0.15|1.745|0.0|0.7|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.103|0.103|0.0|4.7542279575721915|0|0|1
C-52.3|120.0|0.3234441222|0.1115324559|1.3455399596|0.0|0.1929511488|0.1182244033|0.0|0.0|1.5|1.5|0.47|0.47|0.04072846049135154|0.04072846049135154|0.1561454383|0.1338389471|0.1137631051|2.826717052219002|0|0|1
D-43.354|1000.0|0.525|0.03235|1.124|0.0|0.525|0.0|0.0|0.0|0.36397023426620245|0.36397023426620245|1.0|1.0|0.0|0.0|0.04499999999999993|0.04499999999999993|0.0|1.9725215721137677|0|0|1
C-40.16|30.0|0.4|0.141|2.1196364|0.0|0.322|0.101|0.0|0.0|1.3333333|1.3333333|0.45|0.45|0.052|0.052|0.2|0.2|0.1|7.014744817843856|0|0|1
D-29.13|1000.0|4.5|0.56|4.6|0.0|4.5|0.0|0.0|0.0|6.0|6.0|1.0|1.0|0.0|0.0|1.3|1.3|0.0|33.03731942503839|0|0|1
F-38.86|1000.0|0.65|0.09|1.2727273|0.0|0.5|0.15|0.05|0.0|0.0|0.5773503|1.0|1.0|0.0|0.0|0.1|0.1|0.0|2.529064227226254|0|0|1
D-22.66|20.0|0.3|0.17275|1.7906432364|0.0|0.3|0.0|0.0|0.0|4.0|4.0|1.0|1.0|0.0|0.0|0.2|0.2|0.0|5.006189353781423|0|0|1
