Label|m|h|Hm0 toe|Tm1,0t|Tp toe|β|ht|Bt|hb|B|cotad|cotau|gf_d|gf_u|D50_d|D50_u|Ac|Rc|Gc|Kr|Kt|q
A-28.44|200|0.423|0.066|0.931|1.024|0|0.206|0.297|0|0|1.5|1.5|0.4|0.4|0.048|0.048|0.12|0.12|0.141|0|0|1
A-28.45|200|0.423|0.081|1.175|1.292|0|0.206|0.297|0|0|1.5|1.5|0.4|0.4|0.048|0.048|0.12|0.12|0.141|0|0|1
A-28.46|200|0.423|0.09|1.251|1.376|0|0.206|0.297|0|0|1.5|1.5|0.4|0.4|0.048|0.048|0.12|0.12|0.141|0|0|1
A-28.47|200|0.423|0.088|1.129|1.242|0|0.206|0.297|0|0|1.5|1.5|0.4|0.4|0.048|0.048|0.12|0.12|0.141|0|0|1
A-28.48|200|0.423|0.106|1.404|1.544|0|0.206|0.297|0|0|1.5|1.5|0.4|0.4|0.048|0.048|0.12|0.12|0.141|0|0|1
A-28.49|200|0.408|0.084|1.175|1.292|0|0.192|0.297|0|0|1.5|1.5|0.4|0.4|0.048|0.048|0.134|0.134|0.141|0|0|1
A-28.50|200|0.408|0.091|1.251|1.376|0|0.192|0.297|0|0|1.5|1.5|0.4|0.4|0.048|0.048|0.134|0.134|0.141|0|0|1
A-28.51|200|0.431|0.097|1.434|1.578|0|0.214|0.297|0|0|1.5|1.5|0.4|0.4|0.048|0.048|0.111|0.111|0.141|0|0|1
A-28.52|200|0.431|0.113|1.617|1.779|0|0.214|0.297|0|0|1.5|1.5|0.4|0.4|0.048|0.048|0.111|0.111|0.141|0|0|1
A-28.53|200|0.431|0.131|1.663|1.829|0|0.214|0.297|0|0|1.5|1.5|0.4|0.4|0.048|0.048|0.111|0.111|0.141|0|0|1
A-28.54|200|0.431|0.147|1.739|1.913|0|0.214|0.297|0|0|1.5|1.5|0.4|0.4|0.048|0.048|0.111|0.111|0.141|0|0|1
A-28.55|200|0.352|0.147|1.755|1.93|0|0.135|0.297|0|0|1.5|1.5|0.4|0.4|0.048|0.048|0.19|0.19|0.141|0|0|1
