Label|m|h|Hm0 toe|Tm1,0t|β|ht|Bt|hb|B|cotad|cotaincl|cotau|gf_d|gf_u|gf|D|D50_d|D50_u|Ac|Rc|Gc|Kr|Kt|q
E-7.7|1000.0|0.68|0.1|1.690909090909091|0.0|0.68|0.0|0.0800000000000001|1.0|3.0|6.703703703703703|3.0|1.0|1.0|1.0|0.0|0.0|0.0|0.12|0.12|0.0|0|0|1
E-7.8|1000.0|0.6|0.101|1.7090909090909088|0.0|0.6|0.0|0.0|1.0|3.0|6.3003300330033|3.0|1.0|1.0|1.0|0.0|0.0|0.0|0.2|0.2|0.0|0|0|1
E-7.9|1000.0|0.6|0.165|1.5|0.0|0.6|0.0|0.0|1.0|3.0|5.23463687150838|3.0|1.0|1.0|1.0|0.0|0.0|0.0|0.2|0.2|0.0|0|0|1
E-7.10|1000.0|0.6|0.19|1.5818181818181818|0.0|0.6|0.0|0.0|1.0|3.0|5.061855670103093|3.0|1.0|1.0|1.0|0.0|0.0|0.0|0.2|0.2|0.0|0|0|1
E-7.11|1000.0|0.6|0.195|1.7090909090909088|0.0|0.6|0.0|0.0|1.0|3.0|5.030456852791878|3.0|1.0|1.0|1.0|0.0|0.0|0.0|0.2|0.2|0.0|0|0|1
E-7.12|1000.0|0.6|0.168|1.7090909090909088|0.0|0.6|0.0|0.0|1.0|3.0|5.212389380530973|3.0|1.0|1.0|1.0|0.0|0.0|0.0|0.2|0.2|0.0|0|0|1
E-7.13|1000.0|0.6|0.141|2.009090909090909|0.0|0.6|0.0|0.0|1.0|3.0|5.430133657351154|3.0|1.0|1.0|1.0|0.0|0.0|0.0|0.2|0.2|0.0|0|0|1
E-7.14|1000.0|0.6|0.102|2.227272727272727|0.0|0.6|0.0|0.0|1.0|3.0|6.267973856209151|3.0|1.0|1.0|1.0|0.0|0.0|0.0|0.2|0.2|0.0|0|0|1
E-7.15|1000.0|0.52|0.141|1.909090909090909|0.0|0.52|0.0|-0.08|1.0|3.0|5.364066193853428|3.0|1.0|1.0|1.0|0.0|0.0|0.0|0.28|0.28|0.0|0|0|1
E-7.16|1000.0|0.52|0.165|1.6363636363636362|0.0|0.52|0.0|-0.08|1.0|3.0|5.02020202020202|3.0|1.0|1.0|1.0|0.0|0.0|0.0|0.28|0.28|0.0|0|0|1
E-7.17|1000.0|0.6|0.182|1.7090909090909088|0.0|0.6|0.0|0.0|1.0|3.0|5.114164904862579|3.0|1.0|1.0|1.0|0.0|0.0|0.0|0.2|0.2|0.0|0|0|1
E-7.18|1000.0|0.6|0.149|1.4909090909090907|0.0|0.6|0.0|0.0|1.0|3.0|5.361275088547816|3.0|1.0|1.0|1.0|0.0|0.0|0.0|0.2|0.2|0.0|0|0|1
E-7.19|1000.0|0.52|0.166|1.6272727272727272|0.0|0.52|0.0|-0.08|0.4|3.0|3.8032128514056223|3.0|1.0|1.0|1.0|0.0|0.0|0.0|0.32199999999999995|0.32199999999999995|0.0|0|0|1
E-7.20|1000.0|0.52|0.144|1.9545454545454544|0.0|0.52|0.0|-0.08|0.4|3.0|3.925925925925926|3.0|1.0|1.0|1.0|0.0|0.0|0.0|0.32199999999999995|0.32199999999999995|0.0|0|0|1
E-7.21|1000.0|0.6|0.101|2.327272727272727|0.0|0.6|0.0|0.0|0.4|3.0|4.32013201320132|3.0|1.0|1.0|1.0|0.0|0.0|0.0|0.242|0.242|0.0|0|0|1
E-7.22|1000.0|0.6|0.141|1.9636363636363636|0.0|0.6|0.0|0.0|0.4|3.0|3.945626477541371|3.0|1.0|1.0|1.0|0.0|0.0|0.0|0.242|0.242|0.0|0|0|1
E-7.23|1000.0|0.6|0.1733|1.7818181818181817|0.0|0.6|0.0|0.0|0.4|3.0|3.796892120729156|3.0|1.0|1.0|1.0|0.0|0.0|0.0|0.242|0.242|0.0|0|0|1
E-7.24|1000.0|0.6|0.184|1.6727272727272726|0.0|0.6|0.0|0.0|0.4|3.0|3.7722007722007724|3.0|1.0|1.0|1.0|0.0|0.0|0.0|0.242|0.242|0.0|0|0|1
E-7.25|1000.0|0.6|0.196|1.6|0.0|0.6|0.0|0.0|0.4|3.0|3.746268656716418|3.0|1.0|1.0|1.0|0.0|0.0|0.0|0.242|0.242|0.0|0|0|1
E-7.26|1000.0|0.6|0.173|1.5545454545454545|0.0|0.6|0.0|0.0|0.4|3.0|3.7976071784646064|3.0|1.0|1.0|1.0|0.0|0.0|0.0|0.242|0.242|0.0|0|0|1
E-7.27|1000.0|0.6|0.103|1.6181818181818182|0.0|0.6|0.0|0.0|0.4|3.0|4.294498381877022|3.0|1.0|1.0|1.0|0.0|0.0|0.0|0.242|0.242|0.0|0|0|1
E-7.28|1000.0|0.68|0.1|1.5545454545454545|0.0|0.68|0.0|0.0800000000000001|0.4|3.0|4.333333333333334|3.0|1.0|1.0|1.0|0.0|0.0|0.0|0.16199999999999992|0.16199999999999992|0.0|0|0|1
E-7.29|1000.0|0.68|0.172|1.5545454545454545|0.0|0.68|0.0|0.0800000000000001|0.4|3.0|3.775193798449612|3.0|1.0|1.0|1.0|0.0|0.0|0.0|0.352|0.352|0.0|0|0|1
E-7.30|1000.0|0.68|0.184|1.718181818181818|0.0|0.68|0.0|0.0800000000000001|0.4|3.0|3.72463768115942|3.0|1.0|1.0|1.0|0.0|0.0|0.0|0.352|0.352|0.0|0|0|1
E-7.31|1000.0|0.68|0.17|1.7727272727272725|0.0|0.68|0.0|0.0800000000000001|0.4|3.0|3.7843137254901964|3.0|1.0|1.0|1.0|0.0|0.0|0.0|0.352|0.352|0.0|0|0|1
E-7.32|1000.0|0.68|0.141|2.0|0.0|0.68|0.0|0.0800000000000001|0.4|3.0|3.945626477541372|3.0|1.0|1.0|1.0|0.0|0.0|0.0|0.352|0.352|0.0|0|0|1
E-7.33|1000.0|0.73|0.144|1.9727272727272724|0.0|0.73|0.0|0.13|0.4|3.0|3.925925925925926|3.0|1.0|1.0|1.0|0.0|0.0|0.0|0.30200000000000005|0.30200000000000005|0.0|0|0|1
E-7.34|1000.0|0.73|0.174|1.5727272727272725|0.0|0.73|0.0|0.13|0.4|3.0|3.766283524904215|3.0|1.0|1.0|1.0|0.0|0.0|0.0|0.30200000000000005|0.30200000000000005|0.0|0|0|1
